scenario,drive_v,cmd_v,sag_v,source_ohm,source_current_ua,iterations,diode,vd_v,raw_vd_v,id_ua,gd_us,rd_kohm,in_stated_range,left_path_v,right_path_v
b11_s6_s7_delivery_linear_r10k,0.5,0.4854130588054539,0.014586941050814928,10000,1.4586941050814928,51,D4_OA154Q,0.22530327592734742,0.22530327592734742,0.1444248001638131,4.075228459073411,245.385015844577,false,0.4506066094964222,0.4506066094964222
b11_s6_s7_delivery_linear_r10k,0.5,0.4854130588054539,0.014586941050814928,10000,1.4586941050814928,51,D2_SSD55,0.22530333356907475,0.22530333356907475,0.1444250310997735,4.075233932773277,245.38468625271784,false,0.4506066094964222,0.4506066094964222
b11_s6_s7_delivery_linear_r10k,0.5,0.4854130588054539,0.014586941050814928,10000,1.4586941050814928,51,D1_OA154Q,0.22530327592734745,0.22530327592734745,0.14442480016381323,4.075228459073414,245.3850158445768,false,0.4506066094964222,0.4506066094964222
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,51,D3_SSD55,0.3523628762914008,0.3523628762914008,2.3633784713955683,42.640355845858345,23.451961883595068,true,0.7047257419784936,0.7047257419784936
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,51,D4_OA154Q,0.35236286568709274,0.35236286568709274,2.3633780268610938,42.64034910876934,23.451965588957655,true,0.7047257419784936,0.7047257419784936
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,51,D2_SSD55,0.35236287629140084,0.35236287629140084,2.3633784713955706,42.64035584585838,23.45196188359505,true,0.7047257419784936,0.7047257419784936
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,51,D1_OA154Q,0.35236286568709274,0.35236286568709274,2.3633780268610938,42.64034910876934,23.451965588957655,true,0.7047257419784936,0.7047257419784936
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,53,D3_SSD55,0.44528304903775284,0.44528304903775284,10.205184892937098,145.70095766904944,6.863372870008425,true,0.8905660921882914,0.8905660921882914
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,53,D4_OA154Q,0.4452830431505385,0.4452830431505385,10.205184049651729,145.70094755569139,6.863373346407161,true,0.8905660921882914,0.8905660921882914
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,53,D2_SSD55,0.44528304903775284,0.44528304903775284,10.205184892937098,145.70095766904944,6.863372870008425,true,0.8905660921882914,0.8905660921882914
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,53,D1_OA154Q,0.4452830431505385,0.4452830431505385,10.205184049651729,145.70094755569139,6.863373346407161,true,0.8905660921882914,0.8905660921882914
b11_s6_s7_delivery_linear_r10k,3,2.5752708166650384,0.4247291832135085,10000,42.472918321350846,53,D3_SSD55,0.49194060935482775,0.49194060935482775,19.02387909583594,245.8465363696261,4.067578151666603,true,0.9838812136045648,0.9838812136045649
b11_s6_s7_delivery_linear_r10k,3,2.5752708166650384,0.4247291832135085,10000,42.472918321350846,53,D4_OA154Q,0.49194060424973707,0.49194060424973707,19.02387786196463,245.84652297550647,4.0675783732748965,true,0.9838812136045648,0.9838812136045649
b11_s6_s7_delivery_linear_r10k,3,2.5752708166650384,0.4247291832135085,10000,42.472918321350846,53,D2_SSD55,0.49194060935482775,0.49194060935482775,19.02387909583594,245.8465363696261,4.067578151666603,true,0.9838812136045648,0.9838812136045649
b11_s6_s7_delivery_linear_r10k,3,2.5752708166650384,0.4247291832135085,10000,42.472918321350846,53,D1_OA154Q,0.4919406042497372,0.4919406042497372,19.023877861964653,245.84652297550673,4.067578373274892,true,0.9838812136045648,0.9838812136045649
b11_s6_s7_delivery_linear_r10k,5,4.185581096371762,0.8144189034703491,10000,81.4418903470349,54,D3_SSD55,0.5482318375863788,0.5482318375863788,37.44306916085531,434.19506091070957,2.3031123336652737,true,1.0964636704674553,1.0964636704674555
b11_s6_s7_delivery_linear_r10k,5,4.185581096371762,0.8144189034703491,10000,81.4418903470349,54,D4_OA154Q,0.5482318328810765,0.5482318328810765,37.44306715234193,434.1950413462681,2.303112437441462,true,1.0964636704674553,1.0964636704674555
