scenario,vcmd,frequency_hz,command_model,zcmd_ohm,c4_f,c6_f,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,VCMD_NODE_db,input_impedance_mag
cmd_100k_c4c6_0,1,1000,finite command impedance 100000 Ohm,100000,0,0,0.13256115715945982,-17.551674270142733,0.13256112874311543,-17.551676132085273,0.11046760728592955,-19.135301053037768,161446.1130224279
cmd_100k_c4c6_0,1,10000,finite command impedance 100000 Ohm,100000,0,0,0.6827963807877605,-3.3141757912184344,0.6827963793240873,-3.3141758098379,0.5689969827700728,-4.8978007307903955,31343.84917390535
cmd_100k_c4c6_0,1,20000,finite command impedance 100000 Ohm,100000,0,0,0.7602671066244095,-2.3806759819402896,0.7602671062169739,-2.380675986595155,0.6335559218474784,-3.964300907547649,28149.931073253236
cmd_100k_c4c6_0,2,100,finite command impedance 100000 Ohm,100000,0,0,0.002221787776396615,-53.06594853834072,0.002219310117133471,-53.075640140583715,0.0018494250976112264,-54.65926506153621,1591804.4824715613
cmd_100k_c4c6_0,2,1000,finite command impedance 100000 Ohm,100000,0,0,0.02212560978658214,-33.102095024310415,0.022125361909770408,-33.102192334292454,0.018437801591475345,-34.68581725524495,159439.3164222268
cmd_100k_c4c6_0,2,10000,finite command impedance 100000 Ohm,100000,0,0,0.1922494941169007,-14.32269588645027,0.19224947257788155,-14.322696859589652,0.16020789381490133,-15.906321780542145,18349.08536773397
cmd_100k_c4c6_0,2,20000,finite command impedance 100000 Ohm,100000,0,0,0.29129165873566415,-10.71343902814281,0.29129165057681455,-10.713439271427731,0.24274304214734546,-12.29706419238023,12110.204991990184
cmd_100k_c4c6_0,3,100,finite command impedance 100000 Ohm,100000,0,0,0.0011426532969373284,-58.84171045889708,0.0011376730497315048,-58.879650595353255,0.0009480608747762543,-60.46327551630575,1591801.70341564
cmd_100k_c4c6_0,3,1000,finite command impedance 100000 Ohm,100000,0,0,0.01130896449628163,-38.931543187325076,0.011308463407454445,-38.93192805887378,0.009423719506212036,-40.515552979826275,159350.4556135108
cmd_100k_c4c6_0,3,10000,finite command impedance 100000 Ohm,100000,0,0,0.10264622954594418,-19.773139974570142,0.1026461840568745,-19.773143823840872,0.0855384867140621,-21.356768744793367,17554.662824422798
cmd_100k_c4c6_0,3,20000,finite command impedance 100000 Ohm,100000,0,0,0.1657867658390687,-15.609002811355559,0.16578674747138178,-15.60900377367429,0.1381556228928182,-17.192628694626787,10868.893320300303
cmd_1M_c4c6_0,0,100,finite command impedance 1000000 Ohm,1000000,0,0,0.17442852183590926,-15.167649990916694,0.17442851610132148,-15.167650276477776,0.17100834911894267,-15.339653711716126,1617419.2386600296
cmd_1M_c4c6_0,0,1000,finite command impedance 1000000 Ohm,1000000,0,0,0.8580086187451968,-1.3301669923340458,0.8580086184631143,-1.3301669951896562,0.8411849200618768,-1.502170430428006,328812.59190443734
cmd_1M_c4c6_0,0,10000,finite command impedance 1000000 Ohm,1000000,0,0,0.9790400980458501,-0.18399041310113695,0.9790400980426315,-0.18399041312969233,0.959843233375129,-0.3559938483680426,288163.925335887
